ID,Value
1,54
2,62
3,62
4,57
5,53
6,71
7,18
8,26
9,72
10,46
11,68
12,47
13,51
14,52
15,39
16,39
17,52
18,42
19,19
20,44
21,71
22,59
23,55
24,31
25,48
26,72
27,62
28,56
29,46
30,55
31,55
32,42
33,59
34,39
35,73
36,25
37,40
38,58
39,41
40,47
41,69
42,60
43,50
44,38
45,62
46,23
47,80
48,71
49,50
50,30
51,29
52,47
53,35
54,63
55,61
56,52
57,36
58,49
59,42
60,74
61,55
62,52
63,47
64,68
65,45
66,19
67,46
68,67
69,48
70,39
71,76
72,68
73,49
74,45
75,59
76,14
77,47
78,57
79,60
80,27
81,55
82,69
83,41
84,58
85,49
86,71
87,22
88,46
89,59
90,0
91,47
92,44
93,43
94,55
95,37
96,70
97,58
98,49
99,36
100,44
101,43
102,49
103,30
104,52
105,36
106,57
107,58
108,37
109,65
110,59
111,37
112,64
113,47
114,48
115,41
116,54
117,16
118,34
119,63
120,50
121,60
122,35
123,43
124,52
125,34
126,62
127,54
128,43
129,68
130,64
131,61
132,56
133,54
134,30
135,73
136,25
137,64
138,75
139,87
140,37
141,36
142,51
143,70
144,39
145,34
146,51
147,76
148,29
149,34
150,39
151,78
152,74
153,52
154,51
155,50
156,53
157,28
158,64
159,49
160,76
161,38
162,59
163,37
164,69
165,46
166,48
167,47
168,35
169,47
170,40
171,44
172,64
173,50
174,66
175,53
176,36
177,32
178,63
179,84
180,62
181,39
182,33
183,46
184,38
185,48
186,38
187,41
188,59
189,69
190,54
191,63
192,62
193,44
194,74
195,50
196,58
197,48
198,47
199,47
200,57
201,35
202,22
203,60
204,47
205,60
206,22
207,48
208,48
209,51
210,54
211,63
212,34
213,44
214,46
215,69
216,64
217,69
218,24
219,44
220,64
221,53
222,37
223,37
224,68
225,62
226,50
227,53
228,77
229,46
230,75
231,38
232,63
233,41
234,55
235,89
236,78
237,59
238,49
239,38
240,63
241,63
242,78
243,54
244,53
245,33
246,65
247,51
248,43
249,54
250,38
251,32
252,56
253,61
254,18
255,40
256,53
257,62
258,50
259,45
260,71
261,40
262,46
263,72
264,55
265,15
266,27
267,51
268,26
269,56
270,49
271,44
272,52
273,42
274,48
275,49
276,37
277,59
278,66
279,50
280,37
281,58
282,77
283,25
284,83
285,45
286,24
287,80
288,73
289,68
290,83
291,40
292,53
293,70
294,33
295,66
296,33
297,52
298,58
299,65
300,35
301,63
302,52
303,45
304,75
305,54
306,58
307,72
308,71
309,76
310,76
311,66
312,57
313,23
314,41
315,60
316,63
317,53
318,31
319,56
320,49
321,51
322,82
323,62
324,58
325,50
326,41
327,63
328,56
329,23
330,34
331,61
332,67
333,46
334,54
335,52
336,58
337,58
338,53
339,63
340,53
341,69
342,43
343,44
344,55
345,62
346,38
347,53
348,52
349,34
350,40
351,47
352,51
353,62
354,38
355,38
356,15
357,51
358,43
359,48
360,28
361,86
362,72
363,44
364,45
365,33
366,33
367,41
368,27
369,41
370,63
371,58
372,62
373,56
374,48
375,57
376,46
377,40
378,59
379,57
380,45
381,61
382,57
383,84
384,78
385,22
386,70
387,67
388,39
389,61
390,52
391,53
392,34
393,51
394,52
395,49
396,39
397,62
398,52
399,47
400,32
401,42
402,46
403,53
404,53
405,70
406,67
407,57
408,69
409,71
410,57
411,52
412,44
413,46
414,65
415,31
416,27
417,49
418,51
419,44
420,49
421,50
422,48
